site_name,region_type,feature_group,pixels,finite_valid_pixels,finite_valid_fraction,strict_valid_pixels,strict_valid_fraction,pixels_with_nodata,nodata_fraction,coverage_gate_passed
Aksu,positive_aoi,all_features,82944,82944,1.0,82923,0.9997468171296297,21,0.00025318287037037036,True
Aksu,positive_aoi,dem_features,82944,82944,1.0,82944,1.0,0,0.0,True
Aksu,positive_aoi,sentinel2_features,82944,82944,1.0,82944,1.0,0,0.0,True
Aksu,positive_aoi,landsat8_features,82944,82944,1.0,82923,0.9997468171296297,21,0.00025318287037037036,True
Aksu,positive_aoi,prior_features,82944,82944,1.0,82944,1.0,0,0.0,True
Aksu,positive_aoi,lithology_features,82944,82944,1.0,82944,1.0,0,0.0,True
Aksu,positive_aoi,fault_features,82944,82944,1.0,82944,1.0,0,0.0,True
Aksu,positive_aoi,spectral_features,82944,82944,1.0,82923,0.9997468171296297,21,0.00025318287037037036,True
Aksu,positive_aoi,external_prior_features,82944,82944,1.0,82944,1.0,0,0.0,True
Aksu,local_background,all_features,2857466,2857466,1.0,2856264,0.9995793475757891,1202,0.0004206524242108218,True
Aksu,local_background,dem_features,2857466,2857466,1.0,2856273,0.9995824972195645,1193,0.00041750278043553276,True
Aksu,local_background,sentinel2_features,2857466,2857466,1.0,2857457,0.9999968503562248,9,3.149643775289015e-06,True
Aksu,local_background,landsat8_features,2857466,2857466,1.0,2857466,1.0,0,0.0,True
Aksu,local_background,prior_features,2857466,2857466,1.0,2856273,0.9995824972195645,1193,0.00041750278043553276,True
Aksu,local_background,lithology_features,2857466,2857466,1.0,2857466,1.0,0,0.0,True
Aksu,local_background,fault_features,2857466,2857466,1.0,2856273,0.9995824972195645,1193,0.00041750278043553276,True
Aksu,local_background,spectral_features,2857466,2857466,1.0,2857457,0.9999968503562248,9,3.149643775289015e-06,True
Aksu,local_background,external_prior_features,2857466,2857466,1.0,2856273,0.9995824972195645,1193,0.00041750278043553276,True
Atbasar,positive_aoi,all_features,82944,82944,1.0,82944,1.0,0,0.0,True
Atbasar,positive_aoi,dem_features,82944,82944,1.0,82944,1.0,0,0.0,True
Atbasar,positive_aoi,sentinel2_features,82944,82944,1.0,82944,1.0,0,0.0,True
Atbasar,positive_aoi,landsat8_features,82944,82944,1.0,82944,1.0,0,0.0,True
Atbasar,positive_aoi,prior_features,82944,82944,1.0,82944,1.0,0,0.0,True
Atbasar,positive_aoi,lithology_features,82944,82944,1.0,82944,1.0,0,0.0,True
Atbasar,positive_aoi,fault_features,82944,82944,1.0,82944,1.0,0,0.0,True
Atbasar,positive_aoi,spectral_features,82944,82944,1.0,82944,1.0,0,0.0,True
Atbasar,positive_aoi,external_prior_features,82944,82944,1.0,82944,1.0,0,0.0,True
Atbasar,local_background,all_features,3094954,3094954,1.0,3094932,0.9999928916552556,22,7.108344744380692e-06,True
Atbasar,local_background,dem_features,3094954,3094954,1.0,3094954,1.0,0,0.0,True
Atbasar,local_background,sentinel2_features,3094954,3094954,1.0,3094933,0.9999932147618349,21,6.785238165090661e-06,True
